feature,ks_stat,ks_p,wasserstein,ref_mean,target_mean,ks_significant
PS2_mean,0.06859410430839002,0.07030121934767267,0.054809411716486754,4.591942850150307e-16,0.014237186908101392,False
SE_trend,0.032879818594104306,0.832962885093066,0.053686978483719956,1.611208017596599e-17,-0.04271594503976242,False
FS2_std,0.04421768707482993,0.4873123719141046,0.0534678487717443,-5.352231633453702e-16,-0.042538125846696175,False
TS3_ptp,0.03571428571428571,0.7508832163088637,0.052689845772078595,1.0674253116577469e-16,-0.03758019564828893,False
PS5_kurt,0.036281179138321996,0.733483807962663,0.051526458202601315,2.2657612747452175e-16,0.04002566407455283,False
PS2_rms,0.0663265306122449,0.08733518761677106,0.051271804381600596,-1.3514007247591475e-15,0.009102682442513938,False
FS2_skew,0.053854875283446714,0.25243508297595646,0.05087462505234572,-1.8126090197961738e-17,0.005554401545930711,False
CP_std,0.022108843537414966,0.994489736365025,0.05046495357670033,-2.9605947323337506e-16,-0.03903057899539205,False
VS1_skew,0.02834467120181406,0.9348929189449394,0.050080791526419775,9.06304509898087e-17,-0.024401029029361074,False
FS2_ptp,0.036281179138321996,0.733483807962663,0.04978683197819349,-5.095445355649245e-16,0.0035486358963182476,False
PS1_std,0.08560090702947845,0.010943597495570655,0.049764460895291025,3.6050779393723906e-16,-0.04915763110867535,True
TS3_std,0.03854875283446712,0.6622931907782612,0.049517092282320874,-4.934324553889585e-16,-0.033209673826748914,False
CE_std,0.031179138321995464,0.8763775022721514,0.048109025685309115,-1.1077055120976618e-16,-0.02347588171373445,False
PS4_std,0.07256235827664399,0.047253187410013935,0.047311740425019684,-1.8126090197961738e-17,-0.02971388937803244,True
EPS1_std,0.08390022675736962,0.013426738067684229,0.04725404578869185,9.465847103380019e-17,-0.0462558869592913,True
CE_kurt,0.026077097505668934,0.9671779170952389,0.04712757732822506,-2.4168120263948985e-17,0.026773776564529617,False
PS2_kurt,0.08219954648526077,0.01640572135246637,0.04371191256034892,1.8327491200161313e-16,0.04367948241904573,True
