feature,ks_stat,ks_p,wasserstein,ref_mean,target_mean,ks_significant
sensor_42_roll_mean,0.005224211178517013,0.4599288049711747,0.012656384370562799,-0.0013065437009110732,0.009405299161024469,False
sensor_42,0.004908965387555919,0.540707746950458,0.011683452155925075,-0.001341259304602222,0.008707480497230918,False
sensor_49_roll_mean,0.0080728818499477,0.06182509645174927,0.009361962464135004,0.00019662355194260557,0.005572816768327923,False
sensor_49,0.0078633683375674,0.07386699435607114,0.009268019152492655,0.0002615866578063611,0.005105547808151754,False
sensor_45,0.007351309325036026,0.11188194459060674,0.008860011754444843,-0.0015335744241720224,0.005105267583859967,False
sensor_29,0.00559460263657513,0.37368836437489616,0.007723808546442032,-0.0006679447686584748,0.006974893813469581,False
sensor_33_roll_mean,0.004413070402019659,0.675736096617061,0.007413552790522228,-0.0014022539669208349,0.0058432534918565334,False
sensor_03_roll_mean,0.006002347984029988,0.29144195198603995,0.007377147205921605,0.00028801285931837127,0.0030933756931339545,False
sensor_29_roll_mean,0.005075508086172742,0.49730148712064715,0.007355356864094822,-0.000680115771632216,0.006516890121055581,False
sensor_03,0.005837284812665322,0.3230770323748736,0.007230733958729118,0.0002353267749265476,0.0031563382219845677,False
sensor_06_roll_mean,0.0039160196345204845,0.8072119670375205,0.006823800071461563,0.0016775462837819444,-0.005109186031079453,False
sensor_32_roll_mean,0.004016079940755257,0.7820301831341441,0.006816983104677196,-0.0004191903480697426,0.004028760599907192,False
sensor_36,0.004331006949769511,0.6982216961297698,0.0059046377986145555,-0.0010467545360403501,0.004711356194684653,False
sensor_36_roll_mean,0.005001319202267929,0.516452836779964,0.005666439383502042,-0.001041703061415248,0.0045151471069839475,False
sensor_23_roll_mean,0.00410031214803358,0.7601795203930953,0.005021149291958726,0.00030940240567264046,0.0036665247695708094,False
sensor_35_roll_mean,0.004210046911057974,0.7310160117354746,0.004818436980629631,0.0007454726980149415,0.0008992931594707715,False
sensor_01_roll_mean,0.0030846949748862262,0.9610556212259077,0.0047325727872181995,0.00046819111036758054,0.0027229294406540604,False
sensor_26,0.004801608291154169,0.5694000101158936,0.004670127246246067,-9.661267440135852e-05,0.003803453219470904,False
sensor_02,0.0040414130660396674,0.7755152606580299,0.004649390553580791,0.0009053478835585641,0.0015472936633841002,False
sensor_02_roll_mean,0.00444082180309191,0.6681079122214686,0.004624606832072359,0.0009209482127084243,0.0014609023833677362,False
sensor_28,0.0035222032307294926,0.8946071541474646,0.004611890855008885,-0.00048494128506140256,0.003478340982387042,False
sensor_26_roll_mean,0.00486937257951775,0.5512323743678924,0.004553910007620129,-0.00012825198860591793,0.003723743560518562,False
sensor_13_roll_mean,0.004472842581065395,0.6592979598379254,0.004508359640592091,0.0013953082684444473,-0.0024460820949068736,False
sensor_01,0.003276369783419719,0.9364573863306039,0.004499770655649801,0.0006159700824388188,0.002604274885338337,False
sensor_13,0.004466150867459773,0.6611395695692377,0.004426704933577152,0.0013753061636554112,-0.002746571116876422,False
sensor_22_roll_mean,0.004036904997489432,0.7766783595520862,0.004312475146016949,0.0004302473971342835,0.003819981508572106,False
sensor_28_roll_mean,0.0036646130304999747,0.8655437271026454,0.004226278482957406,-0.0005436042860541032,0.002725808264901456,False
sensor_30_roll_mean,0.002584205739126908,0.9940460756537598,0.003967472387197168,0.00022434634021334325,0.001220260930840168,False
sensor_34_roll_mean,0.0033085401384851387,0.9316253229631045,0.003953767971530317,0.0011561960799361588,7.83071942624386e-05,False
sensor_25_roll_mean,0.0030916339531865678,0.9602905034084069,0.0039533572192121495,0.00014099849666735935,0.0035718225094657978,False
sensor_14_roll_mean,0.004043792311907546,0.7749007645451456,0.0039015662796819677,0.00027834163876604156,0.004137858720672368,False
sensor_07_roll_mean,0.003930362791669417,0.8036606190426052,0.0035063472249214464,-0.0005455047024246372,-0.0011169470130400628,False
sensor_34,0.0034413916687997537,0.9095877254760378,0.0034288237595105097,0.0011416944516544428,0.00023001270697065704,False
sensor_00_roll_mean,0.002975783224276607,0.9718558342678801,0.0021727437536085067,3.406021394515293e-06,-0.0013102746129874244,False
sensor_00,0.0023338495588461905,0.9986098021042438,0.002162777415361484,-9.774059160781456e-05,-0.0012575566171061073,False
