rul_bin,count,mae
"(-0.001, 3.0]",226,0.3503175377845764
"(3.0, 13.0]",70,0.5099804401397705
"(13.0, 24.0]",77,1.126915454864502
"(24.0, 41.0]",68,0.610223114490509
