feature,ks_stat,ks_p,wasserstein,ref_mean,target_mean,ks_significant
TS4_mean,0.07766439909297052,0.027436954107388636,0.12968496157118653,6.374341719616545e-16,-0.1295351843667284,True
TS1_rms,0.07596371882086168,0.03302309682596674,0.1295849155109417,4.914184453669627e-16,-0.12941367363579256,True
TS1_mean,0.07596371882086168,0.03302309682596674,0.12958462046674002,1.2305601234394026e-15,-0.129413430477005,True
TS1_min,0.07539682539682539,0.03509528253701764,0.12958219276104782,-5.186075806639053e-16,-0.12931298151543816,True
TS4_min,0.07312925170068027,0.04456469548582795,0.12953359183306934,-6.444832070386396e-16,-0.12933678761528186,True
TS1_max,0.07426303854875284,0.039583678537163054,0.12949623079299757,-1.8931694206760039e-16,-0.12935858402902728,True
VS1_rms,0.0782312925170068,0.025769868567132287,0.12934052182157865,-1.0200960761408468e-15,-0.1248613895176015,True
TS3_max,0.07256235827664399,0.047253187410013935,0.12888747496377262,9.475917153489997e-16,-0.12869865035263722,True
TS3_rms,0.07993197278911565,0.0212937303817154,0.12885071576529877,-2.2154110241953238e-17,-0.1285906352218839,True
TS3_mean,0.07993197278911565,0.0212937303817154,0.12885065314164343,3.806478941571965e-16,-0.12859049010062898,True
TS3_min,0.07142857142857142,0.05305385528274763,0.12873049061425573,-4.289841346850945e-16,-0.12840272351342566,False
VS1_mean,0.07879818594104308,0.02419303153757217,0.12833224516873348,-4.3653667226757855e-16,-0.1250694478755011,True
FS2_max,0.07369614512471655,0.042009994370137235,0.1275163544782696,2.799473930574091e-15,0.12697096753825332,True
TS1_std,0.07709750566893424,0.029198556755262242,0.12527793119203506,-1.3836248851110794e-15,-0.10206316414279015,True
FS2_rms,0.07086167800453515,0.05617752457426256,0.12515872480284912,4.264666221575998e-15,0.12433294599465239,False
FS2_mean,0.07086167800453515,0.05617752457426256,0.1251586354086389,1.820665059884157e-15,0.12433262846485288,False
FS2_min,0.07029478458049887,0.05945796537414544,0.1233714187682843,-1.7441326790483185e-15,0.12283063849391465,False
PS4_max,0.0691609977324263,0.06651356260366574,0.12328987695369809,-9.465847103380019e-17,0.12317358104915335,False
PS1_max,0.0844671201814059,0.012547738941118434,0.12007830342005815,-1.688948804445635e-14,0.11663912626645742,True
PS3_kurt,0.07256235827664399,0.047253187410013935,0.11951933948569035,1.7119085186963865e-16,-0.11834319712502193,True
VS1_min,0.07086167800453515,0.05617752457426256,0.11549210088260911,-1.867994295401057e-15,-0.11254289281381877,False
CP_kurt,0.06292517006802721,0.11927941520084044,0.11477408461028102,-5.437827059388522e-17,0.10274631948121567,False
PS3_std,0.06405895691609978,0.10770519632859851,0.11389381183111832,2.0422061623036892e-15,0.10507517081926084,False
TS1_ptp,0.06065759637188209,0.14548714958420597,0.11040891625166893,5.921189464667501e-16,-0.09717237347422213,False
VS1_max,0.07993197278911565,0.0212937303817154,0.10981513681224431,-3.0915053837634746e-16,-0.10129112439680753,True
EPS1_mean,0.07142857142857142,0.05305385528274763,0.10900282296914549,3.629246059636339e-15,0.08878745808092157,False
PS6_skew,0.07142857142857142,0.05305385528274763,0.10886701922395897,3.574867789042454e-17,-0.09655415236038196,False
CE_skew,0.061224489795918366,0.13853528514528815,0.10731062314668023,-4.0280200439914976e-17,0.10453515671029896,False
EPS1_rms,0.07029478458049887,0.05945796537414544,0.10602770366312074,-2.374517815932988e-15,0.08592745191785865,False
TS2_std,0.0963718820861678,0.002723899124927205,0.10602322670577938,-9.405426802720146e-16,-0.08682147658184286,True
PS5_skew,0.048752834467120185,0.36451431356790204,0.1054205771016952,1.1379156624275982e-16,-0.08404298904911284,False
TS1_skew,0.06179138321995465,0.13185469031793948,0.0972504769602979,2.285901374965175e-16,0.049826054666135634,False
PS3_rms,0.07256235827664399,0.047253187410013935,0.09677352340425276,-2.44450466419734e-16,0.09672323043413554,True
TS3_kurt,0.06065759637188209,0.14548714958420597,0.09134261793230572,1.3997369652870454e-16,0.06570117958372688,False
VS1_ptp,0.0935374149659864,0.003991030574549769,0.09128473712014734,-2.8901043815638997e-16,-0.08130984632624363,True
PS2_max,0.07256235827664399,0.047253187410013935,0.09083385800760752,6.1568286372410045e-15,0.07967552348355979,True
PS2_ptp,0.07256235827664399,0.047253187410013935,0.09083385800760752,6.1568286372410045e-15,0.07967552348355979,True
VS1_std,0.07993197278911565,0.0212937303817154,0.08930484540149697,-1.3201835694182133e-15,-0.08259373256604126,True
PS3_skew,0.07426303854875284,0.039583678537163054,0.08883020524264174,2.4419871516698455e-17,-0.08864719014823284,True
TS2_ptp,0.06859410430839002,0.07030121934767267,0.08854935023649105,-7.04903507698512e-17,-0.07983933061725264,False
